game,agent_a,agent_b,player1,player2,result,score_for_a,plies
1,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,p2_win,1.0,20
2,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,p1_win,1.0,19
3,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,p2_win,1.0,22
4,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,p2_win,1.0,24
5,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,p2_win,1.0,28
6,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,p2_win,0.0,24
7,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,p2_win,1.0,22
8,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,p2_win,0.0,24
9,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,p1_win,0.0,25
10,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,p2_win,0.0,26
11,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,p1_win,0.0,27
12,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,p1_win,0.0,27
13,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,p2_win,0.0,26
14,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,p2_win,0.0,26
15,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,p1_win,0.0,27
16,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,p1_win,1.0,23
17,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,p2_win,1.0,22
18,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,p2_win,1.0,28
19,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,p2_win,0.0,24
20,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,p2_win,0.0,28
21,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,p1_win,0.0,27
22,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,p1_win,0.0,27
23,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,p1_win,1.0,27
