game,agent_a,agent_b,player1,player2,result,score_for_a,plies
1,models_7x7\sweep\sup_64x6.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\sweep\sup_64x6.pt,models_7x7\sweep\sup_64x6_gp3.pt,p1_win,1.0,23
2,models_7x7\sweep\sup_64x6.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\sweep\sup_64x6.pt,p2_win,1.0,22
3,models_7x7\sweep\sup_64x6.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\sweep\sup_64x6.pt,p2_win,1.0,24
4,models_7x7\sweep\sup_64x6.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\sweep\sup_64x6.pt,p2_win,1.0,28
5,models_7x7\sweep\sup_64x6.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\sweep\sup_64x6.pt,models_7x7\sweep\sup_64x6_gp3.pt,p1_win,1.0,33
6,models_7x7\sweep\sup_64x6.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\sweep\sup_64x6.pt,p1_win,0.0,29
7,models_7x7\sweep\sup_64x6.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\sweep\sup_64x6.pt,p2_win,1.0,28
8,models_7x7\sweep\sup_64x6.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\sweep\sup_64x6.pt,p1_win,0.0,29
9,models_7x7\sweep\sup_64x6.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\sweep\sup_64x6.pt,p1_win,0.0,29
10,models_7x7\sweep\sup_64x6.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\sweep\sup_64x6.pt,p1_win,0.0,29
