game,agent_a,agent_b,player1,player2,result,score_for_a
1,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,p2_win,0.0
2,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0071.pt,p2_win,1.0
3,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0141.pt,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0141.pt,p1_win,1.0
4,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0141.pt,models_7x7\checkpoints\cycle_0141.pt,models_7x7\checkpoints\cycle_0071.pt,p2_win,1.0
5,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0152.pt,p1_win,1.0
6,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0071.pt,p1_win,0.0
7,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0162.pt,p2_win,0.0
8,models_7x7\checkpoints\cycle_0071.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0071.pt,p1_win,0.0
9,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0141.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0141.pt,p1_win,1.0
10,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0141.pt,models_7x7\checkpoints\cycle_0141.pt,models_7x7\checkpoints\cycle_0121.pt,p1_win,0.0
11,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0152.pt,p2_win,0.0
12,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0121.pt,p1_win,0.0
13,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0162.pt,p2_win,0.0
14,models_7x7\checkpoints\cycle_0121.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0121.pt,p1_win,0.0
15,models_7x7\checkpoints\cycle_0141.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0141.pt,models_7x7\checkpoints\cycle_0152.pt,p2_win,0.0
16,models_7x7\checkpoints\cycle_0141.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0141.pt,p2_win,1.0
17,models_7x7\checkpoints\cycle_0141.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0141.pt,models_7x7\checkpoints\cycle_0162.pt,p2_win,0.0
18,models_7x7\checkpoints\cycle_0141.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0141.pt,p1_win,0.0
19,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0162.pt,p2_win,0.0
20,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0152.pt,p1_win,0.0
