rank,model,elo,wins,draws,losses,games,score_pct,sims,temperature
1,sigmaquoridor-160,2806.61,19,0,1,20,95.00,800,0.0
2,sigmaquoridor-80,2806.61,19,0,1,20,95.00,800,0.0
3,sigmaquoridor-40,1454.90,13,0,7,20,65.00,800,0.0
4,sigmaquoridor-20,1345.69,11,0,9,20,55.00,800,0.0
5,sigmaquoridor-10,1297.97,10,0,10,20,50.00,800,0.0
6,minimax-1,1252.50,9,0,11,20,45.00,800,0.0
7,minimax-3,1208.12,8,0,12,20,40.00,800,0.0
8,sigmaquoridor-5,1163.85,7,0,13,20,35.00,800,0.0
9,raw-supervised_extended,1071.50,5,0,15,20,25.00,800,0.0
10,minimax-4,1071.50,5,0,15,20,25.00,800,0.0
11,minimax-2,1020.74,4,0,16,20,20.00,800,0.0
