rank,model,elo,wins,draws,losses,games,score_pct,sims,temperature
1,cycle_0111,1928.94,52,1,7,60,87.50,800,1.0
2,cycle_0101,1744.81,42,2,16,60,71.67,800,1.0
3,cycle_0091,1728.55,41,2,17,60,70.00,800,1.0
4,cycle_0131,1704.64,40,1,19,60,67.50,800,1.0
5,cycle_0141,1696.78,40,0,20,60,66.67,800,1.0
6,cycle_0081,1696.78,40,0,20,60,66.67,800,1.0
7,cycle_0071,1688.95,39,1,20,60,65.83,800,1.0
8,cycle_0121,1650.26,37,0,23,60,61.67,800,1.0
9,cycle_0061,1596.39,33,1,26,60,55.83,800,1.0
10,models_7x7_v2\best.pt,1517.09,28,1,31,60,47.50,800,1.0
11,cycle_0051,1492.14,27,0,33,60,45.00,800,1.0
12,cycle_0041,1448.73,22,5,33,60,40.83,800,1.0
13,cycle_0031,1168.75,12,0,48,60,20.00,800,1.0
14,cycle_0021,1168.75,12,0,48,60,20.00,800,1.0
15,cycle_0011,884.21,4,0,56,60,6.67,800,1.0
16,cycle_0001,884.21,4,0,56,60,6.67,800,1.0
