game,agent_a,agent_b,player1,player2,result,score_for_a
1,cycle_0001,cycle_0011,cycle_0001,cycle_0011,p2_win,0.0
2,cycle_0001,cycle_0011,cycle_0001,cycle_0011,p1_win,1.0
3,cycle_0001,cycle_0011,cycle_0001,cycle_0011,p2_win,0.0
4,cycle_0001,cycle_0011,cycle_0001,cycle_0011,p1_win,1.0
5,cycle_0001,cycle_0011,cycle_0001,cycle_0011,p2_win,0.0
6,cycle_0001,cycle_0011,cycle_0001,cycle_0011,p2_win,0.0
7,cycle_0001,cycle_0011,cycle_0001,cycle_0011,p2_win,0.0
8,cycle_0001,cycle_0011,cycle_0001,cycle_0011,p2_win,0.0
9,cycle_0001,cycle_0011,cycle_0001,cycle_0011,p2_win,0.0
10,cycle_0001,cycle_0011,cycle_0001,cycle_0011,p2_win,0.0
11,cycle_0001,cycle_0011,cycle_0001,cycle_0011,p1_win,1.0
12,cycle_0001,cycle_0011,cycle_0001,cycle_0011,p2_win,0.0
13,cycle_0001,cycle_0011,cycle_0001,cycle_0011,p2_win,0.0
14,cycle_0001,cycle_0011,cycle_0001,cycle_0011,p1_win,1.0
15,cycle_0001,cycle_0011,cycle_0001,cycle_0011,p2_win,0.0
16,cycle_0001,cycle_0011,cycle_0011,cycle_0001,p1_win,0.0
17,cycle_0001,cycle_0011,cycle_0011,cycle_0001,p2_win,1.0
18,cycle_0001,cycle_0011,cycle_0011,cycle_0001,p1_win,0.0
19,cycle_0001,cycle_0011,cycle_0011,cycle_0001,p1_win,0.0
20,cycle_0001,cycle_0011,cycle_0011,cycle_0001,p2_win,1.0
21,cycle_0001,cycle_0011,cycle_0011,cycle_0001,p1_win,0.0
22,cycle_0001,cycle_0011,cycle_0011,cycle_0001,p1_win,0.0
23,cycle_0001,cycle_0011,cycle_0011,cycle_0001,p1_win,0.0
24,cycle_0001,cycle_0011,cycle_0011,cycle_0001,p2_win,1.0
25,cycle_0001,cycle_0011,cycle_0011,cycle_0001,p1_win,0.0
26,cycle_0001,cycle_0011,cycle_0011,cycle_0001,p1_win,0.0
27,cycle_0001,cycle_0011,cycle_0011,cycle_0001,p1_win,0.0
28,cycle_0001,cycle_0011,cycle_0011,cycle_0001,p1_win,0.0
29,cycle_0001,cycle_0011,cycle_0011,cycle_0001,p2_win,1.0
30,cycle_0001,cycle_0011,cycle_0011,cycle_0001,p2_win,1.0
31,cycle_0001,cycle_0021,cycle_0001,cycle_0021,p2_win,0.0
32,cycle_0001,cycle_0021,cycle_0001,cycle_0021,p2_win,0.0
33,cycle_0001,cycle_0021,cycle_0001,cycle_0021,p2_win,0.0
34,cycle_0001,cycle_0021,cycle_0001,cycle_0021,p2_win,0.0
35,cycle_0001,cycle_0021,cycle_0001,cycle_0021,p2_win,0.0
36,cycle_0001,cycle_0021,cycle_0001,cycle_0021,p2_win,0.0
37,cycle_0001,cycle_0021,cycle_0001,cycle_0021,p2_win,0.0
38,cycle_0001,cycle_0021,cycle_0001,cycle_0021,p2_win,0.0
39,cycle_0001,cycle_0021,cycle_0001,cycle_0021,p2_win,0.0
40,cycle_0001,cycle_0021,cycle_0001,cycle_0021,p2_win,0.0
41,cycle_0001,cycle_0021,cycle_0001,cycle_0021,p2_win,0.0
42,cycle_0001,cycle_0021,cycle_0001,cycle_0021,p2_win,0.0
43,cycle_0001,cycle_0021,cycle_0001,cycle_0021,p2_win,0.0
44,cycle_0001,cycle_0021,cycle_0001,cycle_0021,p2_win,0.0
45,cycle_0001,cycle_0021,cycle_0001,cycle_0021,p1_win,1.0
46,cycle_0001,cycle_0021,cycle_0021,cycle_0001,p1_win,0.0
47,cycle_0001,cycle_0021,cycle_0021,cycle_0001,p1_win,0.0
48,cycle_0001,cycle_0021,cycle_0021,cycle_0001,p1_win,0.0
49,cycle_0001,cycle_0021,cycle_0021,cycle_0001,p1_win,0.0
50,cycle_0001,cycle_0021,cycle_0021,cycle_0001,p1_win,0.0
51,cycle_0001,cycle_0021,cycle_0021,cycle_0001,p1_win,0.0
52,cycle_0001,cycle_0021,cycle_0021,cycle_0001,p1_win,0.0
53,cycle_0001,cycle_0021,cycle_0021,cycle_0001,p1_win,0.0
54,cycle_0001,cycle_0021,cycle_0021,cycle_0001,p1_win,0.0
55,cycle_0001,cycle_0021,cycle_0021,cycle_0001,p2_win,1.0
56,cycle_0001,cycle_0021,cycle_0021,cycle_0001,p1_win,0.0
57,cycle_0001,cycle_0021,cycle_0021,cycle_0001,p1_win,0.0
58,cycle_0001,cycle_0021,cycle_0021,cycle_0001,p1_win,0.0
59,cycle_0001,cycle_0021,cycle_0021,cycle_0001,p1_win,0.0
60,cycle_0001,cycle_0021,cycle_0021,cycle_0001,p1_win,0.0
61,cycle_0001,cycle_0031,cycle_0001,cycle_0031,p2_win,0.0
62,cycle_0001,cycle_0031,cycle_0001,cycle_0031,p2_win,0.0
63,cycle_0001,cycle_0031,cycle_0001,cycle_0031,p2_win,0.0
64,cycle_0001,cycle_0031,cycle_0001,cycle_0031,p2_win,0.0
65,cycle_0001,cycle_0031,cycle_0001,cycle_0031,p2_win,0.0
66,cycle_0001,cycle_0031,cycle_0001,cycle_0031,p2_win,0.0
67,cycle_0001,cycle_0031,cycle_0001,cycle_0031,p2_win,0.0
68,cycle_0001,cycle_0031,cycle_0001,cycle_0031,p2_win,0.0
69,cycle_0001,cycle_0031,cycle_0001,cycle_0031,p2_win,0.0
70,cycle_0001,cycle_0031,cycle_0001,cycle_0031,p2_win,0.0
71,cycle_0001,cycle_0031,cycle_0001,cycle_0031,p2_win,0.0
72,cycle_0001,cycle_0031,cycle_0001,cycle_0031,p2_win,0.0
73,cycle_0001,cycle_0031,cycle_0001,cycle_0031,p2_win,0.0
74,cycle_0001,cycle_0031,cycle_0001,cycle_0031,p2_win,0.0
75,cycle_0001,cycle_0031,cycle_0001,cycle_0031,p2_win,0.0
