cycle,p1_wins,p2_wins,draws,mean_game_length,min_game_length,max_game_length,mean_walls_placed,mean_policy_entropy,value_accuracy,loss_total,loss_policy,loss_value,holdout_loss_total,holdout_loss_policy,holdout_loss_value,lr,boardsize,walls_per_player,games_per_cycle,mcts_sims,mcts_sims_fast,fast_play_prob,fast_kl_threshold,temp_threshold,c_puct,dirichlet_alpha,dirichlet_epsilon,dist_bonus_weight_max,fpu_reduction,random_wall_plies,random_wall_fraction,buffer_cycles,batch_size,train_positions_per_cycle,buffer_recency_decay,learning_rate,weight_decay,value_loss_weight,lr_milestones,lr_decay,filters,num_residual,num_workers
144,,,,,,,,,0.9014,0.892474,0.579829,0.312645,,,,1.00e-04,7,5,200,800,128,0.0,0.7,20,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,512000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,64,6,8
145,,,,,,,,,0.8871,0.907114,0.565160,0.341954,,,,1.00e-04,7,5,200,800,128,0.0,0.7,20,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,512000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,64,6,8
146,,,,,,,,,0.8822,0.914623,0.560114,0.354508,,,,1.00e-04,7,5,200,800,128,0.0,0.7,20,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,512000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,64,6,8
147,,,,,,,,,0.8736,0.912469,0.541844,0.370625,,,,1.00e-04,7,5,200,800,128,0.0,0.7,20,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,512000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,64,6,8
148,,,,,,,,,0.8619,0.923842,0.533426,0.390416,,,,1.00e-04,7,5,200,800,128,0.0,0.7,20,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,512000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,64,6,8
149,,,,,,,,,0.8531,0.932057,0.526269,0.405788,,,,1.00e-04,7,5,200,800,128,0.0,0.7,20,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,512000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,64,6,8
150,,,,,,,,,0.8475,0.934976,0.518070,0.416906,,,,1.00e-04,7,5,200,800,128,0.0,0.7,20,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,512000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,64,6,8
151,,,,,,,,,0.8405,0.931723,0.503917,0.427806,,,,1.00e-04,7,5,200,800,128,0.0,0.7,20,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,512000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,64,6,8
152,,,,,,,,,0.8326,0.921887,0.480050,0.441838,,,,1.00e-04,7,5,200,800,128,0.0,0.7,20,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,512000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,64,6,8
153,,,,,,,,,0.8227,0.911120,0.453854,0.457266,,,,1.00e-04,7,5,200,800,128,0.0,0.7,20,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,512000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,64,6,8
154,,,,,,,,,0.8193,0.880715,0.430864,0.449851,,,,1.00e-04,7,5,200,800,128,0.0,0.7,20,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,512000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,64,6,8
155,,,,,,,,,0.8140,0.876262,0.417990,0.458272,,,,1.00e-04,7,5,200,800,128,0.0,0.7,20,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,512000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,64,6,8
156,,,,,,,,,0.8099,0.874072,0.406492,0.467581,,,,1.00e-04,7,5,200,800,128,0.0,0.7,20,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,512000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,64,6,8
157,,,,,,,,,0.8002,0.887807,0.406202,0.481606,,,,1.00e-04,7,5,200,800,128,0.0,0.7,20,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,512000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,64,6,8
158,,,,,,,,,0.8061,0.873521,0.396708,0.476813,,,,1.00e-04,7,5,200,800,128,0.0,0.7,20,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,512000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,64,6,8
159,,,,,,,,,0.8021,0.871848,0.384339,0.487509,,,,1.00e-04,7,5,200,800,128,0.0,0.7,20,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,512000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,64,6,8
160,,,,,,,,,0.7965,0.878769,0.382284,0.496485,,,,1.00e-04,7,5,200,800,128,0.0,0.7,20,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,512000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,64,6,8
161,,,,,,,,,0.7941,0.882655,0.383203,0.499453,,,,1.00e-04,7,5,200,800,128,0.0,0.7,20,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,512000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,64,6,8
162,,,,,,,,,0.7904,0.878874,0.374935,0.503939,,,,1.00e-04,7,5,200,800,128,0.0,0.7,20,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,512000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,64,6,8
