cycle,p1_wins,p2_wins,draws,mean_game_length,min_game_length,max_game_length,mean_walls_placed,mean_policy_entropy,value_accuracy,loss_total,loss_policy,loss_value,holdout_loss_total,holdout_loss_policy,holdout_loss_value,lr,boardsize,walls_per_player,games_per_cycle,mcts_sims,mcts_sims_fast,fast_play_prob,fast_kl_threshold,temp_threshold,c_puct,dirichlet_alpha,dirichlet_epsilon,dist_bonus_weight_max,fpu_reduction,random_wall_plies,random_wall_fraction,buffer_cycles,batch_size,train_positions_per_cycle,buffer_recency_decay,learning_rate,weight_decay,value_loss_weight,lr_milestones,lr_decay,filters,num_residual,num_workers
1,40,60,0,20.02,9,30,9.67,1.1328,0.9310,1.583899,1.303358,0.187028,,,,1.00e-03,7,5,100,800,128,0.3,0.7,12,1.5,0.3,0.25,2.0,0.2,10,0.0,40,256,100000,0.9,0.001,0.0001,1.5,"[800, 1600]",0.1,64,6,7
2,34,66,0,23.26,8,41,7.46,0.5234,0.9091,1.439963,1.067323,0.248426,,,,1.00e-03,7,5,100,800,128,0.3,0.7,12,1.5,0.3,0.25,2.0,0.2,10,0.0,40,256,100000,0.9,0.001,0.0001,1.5,"[800, 1600]",0.1,64,6,7
3,53,47,0,23.88,9,49,8.38,0.3929,0.8833,1.362776,0.912939,0.299891,,,,1.00e-03,7,5,100,800,128,0.3,0.7,12,1.5,0.3,0.25,2.0,0.2,10,0.0,40,256,100000,0.9,0.001,0.0001,1.5,"[800, 1600]",0.1,64,6,7
4,72,28,0,24.64,12,46,8.70,0.3897,0.8757,1.324396,0.851228,0.315445,,,,1.00e-03,7,5,100,800,128,0.3,0.7,12,1.5,0.3,0.25,2.0,0.2,10,0.0,40,256,100000,0.9,0.001,0.0001,1.5,"[800, 1600]",0.1,64,6,7
5,58,42,0,23.71,9,40,8.29,0.3501,0.8686,1.303931,0.790678,0.342168,,,,1.00e-03,7,5,100,800,128,0.3,0.7,12,1.5,0.3,0.25,2.0,0.2,10,0.0,40,256,100000,0.9,0.001,0.0001,1.5,"[800, 1600]",0.1,64,6,7
6,51,49,0,24.32,10,47,8.61,0.3242,0.8610,1.269387,0.739767,0.353080,,,,1.00e-03,7,5,100,800,128,0.3,0.7,12,1.5,0.3,0.25,2.0,0.2,10,0.0,40,256,100000,0.9,0.001,0.0001,1.5,"[800, 1600]",0.1,64,6,7
7,49,49,2,26.39,12,56,8.89,0.2742,0.8531,1.242214,0.692319,0.366597,,,,1.00e-03,7,5,100,800,128,0.3,0.7,12,1.5,0.3,0.25,2.0,0.2,10,0.0,40,256,100000,0.9,0.001,0.0001,1.5,"[800, 1600]",0.1,64,6,7
8,64,36,0,24.18,13,44,8.52,0.2965,0.8552,1.215089,0.664499,0.367060,,,,1.00e-03,7,5,100,800,128,0.3,0.7,12,1.5,0.3,0.25,2.0,0.2,10,0.0,40,256,100000,0.9,0.001,0.0001,1.5,"[800, 1600]",0.1,64,6,7
9,47,53,0,26.47,13,43,8.31,0.2404,0.8438,1.200693,0.619544,0.387432,,,,1.00e-03,7,5,100,800,128,0.3,0.7,12,1.5,0.3,0.25,2.0,0.2,10,0.0,40,256,100000,0.9,0.001,0.0001,1.5,"[800, 1600]",0.1,64,6,7
10,49,51,0,26.97,12,46,8.48,0.2641,0.8394,1.193909,0.599723,0.396124,,,,1.00e-03,7,5,100,800,128,0.3,0.7,12,1.5,0.3,0.25,2.0,0.2,10,0.0,40,256,100000,0.9,0.001,0.0001,1.5,"[800, 1600]",0.1,64,6,7
