game,agent_a,agent_b,player1,player2,result,score_for_a
1,minimax-1,minimax-2,minimax-1,minimax-2,p2_win,0.0
2,minimax-1,minimax-2,minimax-2,minimax-1,p2_win,1.0
3,minimax-1,minimax-3,minimax-1,minimax-3,p1_win,1.0
4,minimax-1,minimax-3,minimax-3,minimax-1,p2_win,1.0
5,minimax-1,minimax-4,minimax-1,minimax-4,p2_win,0.0
6,minimax-1,minimax-4,minimax-4,minimax-1,p2_win,1.0
7,minimax-1,raw-supervised_extended,minimax-1,raw-supervised_extended,p2_win,0.0
8,minimax-1,raw-supervised_extended,raw-supervised_extended,minimax-1,p2_win,1.0
9,minimax-2,minimax-3,minimax-2,minimax-3,p2_win,0.0
10,minimax-2,minimax-3,minimax-3,minimax-2,p2_win,1.0
11,minimax-2,minimax-4,minimax-2,minimax-4,p2_win,0.0
12,minimax-2,minimax-4,minimax-4,minimax-2,p1_win,0.0
13,minimax-2,raw-supervised_extended,minimax-2,raw-supervised_extended,p2_win,0.0
14,minimax-2,raw-supervised_extended,raw-supervised_extended,minimax-2,p2_win,1.0
15,minimax-3,minimax-4,minimax-3,minimax-4,p1_win,1.0
16,minimax-3,minimax-4,minimax-4,minimax-3,p2_win,1.0
17,minimax-3,raw-supervised_extended,minimax-3,raw-supervised_extended,p1_win,1.0
18,minimax-3,raw-supervised_extended,raw-supervised_extended,minimax-3,p2_win,1.0
19,minimax-4,raw-supervised_extended,minimax-4,raw-supervised_extended,p2_win,0.0
20,minimax-4,raw-supervised_extended,raw-supervised_extended,minimax-4,p2_win,1.0
21,minimax-1,sigmaquoridor-10,minimax-1,sigmaquoridor-10,p2_win,0.0
22,minimax-1,sigmaquoridor-10,sigmaquoridor-10,minimax-1,p2_win,1.0
23,minimax-1,sigmaquoridor-20,minimax-1,sigmaquoridor-20,p2_win,0.0
24,minimax-1,sigmaquoridor-20,sigmaquoridor-20,minimax-1,p2_win,1.0
25,minimax-1,sigmaquoridor-40,minimax-1,sigmaquoridor-40,p2_win,0.0
26,minimax-1,sigmaquoridor-40,sigmaquoridor-40,minimax-1,p2_win,1.0
27,minimax-1,sigmaquoridor-80,minimax-1,sigmaquoridor-80,p2_win,0.0
28,minimax-1,sigmaquoridor-80,sigmaquoridor-80,minimax-1,p1_win,0.0
29,minimax-1,sigmaquoridor-160,minimax-1,sigmaquoridor-160,p2_win,0.0
30,minimax-1,sigmaquoridor-160,sigmaquoridor-160,minimax-1,p1_win,0.0
31,minimax-2,sigmaquoridor-10,minimax-2,sigmaquoridor-10,p2_win,0.0
32,minimax-2,sigmaquoridor-10,sigmaquoridor-10,minimax-2,p1_win,0.0
33,minimax-2,sigmaquoridor-20,minimax-2,sigmaquoridor-20,p2_win,0.0
34,minimax-2,sigmaquoridor-20,sigmaquoridor-20,minimax-2,p1_win,0.0
35,minimax-2,sigmaquoridor-40,minimax-2,sigmaquoridor-40,p2_win,0.0
36,minimax-2,sigmaquoridor-40,sigmaquoridor-40,minimax-2,p1_win,0.0
37,minimax-2,sigmaquoridor-80,minimax-2,sigmaquoridor-80,p2_win,0.0
38,minimax-2,sigmaquoridor-80,sigmaquoridor-80,minimax-2,p1_win,0.0
39,minimax-2,sigmaquoridor-160,minimax-2,sigmaquoridor-160,p2_win,0.0
40,minimax-2,sigmaquoridor-160,sigmaquoridor-160,minimax-2,p1_win,0.0
41,minimax-3,sigmaquoridor-10,minimax-3,sigmaquoridor-10,p2_win,0.0
42,minimax-3,sigmaquoridor-10,sigmaquoridor-10,minimax-3,p1_win,0.0
43,minimax-3,sigmaquoridor-20,minimax-3,sigmaquoridor-20,p2_win,0.0
44,minimax-3,sigmaquoridor-20,sigmaquoridor-20,minimax-3,p2_win,1.0
45,minimax-3,sigmaquoridor-40,minimax-3,sigmaquoridor-40,p1_win,1.0
46,minimax-3,sigmaquoridor-40,sigmaquoridor-40,minimax-3,p1_win,0.0
47,minimax-3,sigmaquoridor-80,minimax-3,sigmaquoridor-80,p2_win,0.0
48,minimax-3,sigmaquoridor-80,sigmaquoridor-80,minimax-3,p1_win,0.0
49,minimax-3,sigmaquoridor-160,minimax-3,sigmaquoridor-160,p2_win,0.0
50,minimax-3,sigmaquoridor-160,sigmaquoridor-160,minimax-3,p1_win,0.0
51,minimax-4,sigmaquoridor-10,minimax-4,sigmaquoridor-10,p2_win,0.0
52,minimax-4,sigmaquoridor-10,sigmaquoridor-10,minimax-4,p1_win,0.0
53,minimax-4,sigmaquoridor-20,minimax-4,sigmaquoridor-20,p1_win,1.0
54,minimax-4,sigmaquoridor-20,sigmaquoridor-20,minimax-4,p1_win,0.0
55,minimax-4,sigmaquoridor-40,minimax-4,sigmaquoridor-40,p2_win,0.0
