rank,model,elo,wins,draws,losses,games,score_pct,sims,temperature
1,cycle_0071,2043.55,31,0,5,36,86.11,800,0.0
2,models_7x7\supervised_extended.pt,1934.74,28,0,8,36,77.78,800,0.0
3,cycle_0081,1934.74,28,0,8,36,77.78,800,0.0
4,cycle_0091,1871.33,26,0,10,36,72.22,800,0.0
5,cycle_0141,1871.33,26,0,10,36,72.22,800,0.0
6,cycle_0101,1871.33,26,0,10,36,72.22,800,0.0
7,cycle_0121,1856.03,25,1,10,36,70.83,800,0.0
8,cycle_0111,1810.80,24,0,12,36,66.67,800,0.0
9,cycle_0131,1810.80,24,0,12,36,66.67,800,0.0
10,cycle_0061,1641.33,18,1,17,36,51.39,800,0.0
11,cycle_0041,1624.77,18,0,18,36,50.00,800,0.0
12,cycle_0051,1590.63,17,0,19,36,47.22,800,0.0
13,models_7x7_v2\best.pt,1554.89,16,0,20,36,44.44,800,0.0
14,cycle_0031,1257.29,9,1,26,36,26.39,800,0.0
15,minimax-3,1227.16,9,0,27,36,25.00,800,0.0
16,minimax-2,1227.16,9,0,27,36,25.00,800,0.0
17,cycle_0021,710.93,3,1,32,36,9.72,800,0.0
18,cycle_0011,644.73,3,0,33,36,8.33,800,0.0
19,cycle_0001,16.46,0,0,36,36,0.00,800,0.0
