cycle,p1_wins,p2_wins,draws,mean_game_length,min_game_length,max_game_length,mean_walls_placed,mean_policy_entropy,value_accuracy,loss_total,loss_policy,loss_value,holdout_loss_total,holdout_loss_policy,holdout_loss_value,lr,boardsize,walls_per_player,games_per_cycle,mcts_sims,mcts_sims_fast,fast_play_prob,fast_kl_threshold,temp_threshold,c_puct,dirichlet_alpha,dirichlet_epsilon,dist_bonus_weight_max,fpu_reduction,random_wall_plies,random_wall_fraction,buffer_cycles,batch_size,train_positions_per_cycle,buffer_recency_decay,learning_rate,weight_decay,value_loss_weight,lr_milestones,lr_decay,filters,num_residual,gpool_every,num_workers,value_head,pawn_head
44,,,,,,,,,0.8667,1.211297,0.865550,0.345746,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
45,,,,,,,,,0.8758,1.133033,0.812175,0.320857,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
46,,,,,,,,,0.8775,1.125843,0.808861,0.316981,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
47,,,,,,,,,0.8645,1.225043,0.873305,0.351738,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,50,1024,1024000,1.0,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
48,,,,,,,,,0.8709,1.188022,0.853494,0.334528,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,50,1024,1024000,1.0,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
49,,,,,,,,,0.8716,1.182100,0.850389,0.331712,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,50,1024,1024000,1.0,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
50,,,,,,,,,0.8732,1.174589,0.846615,0.327973,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,50,1024,1024000,1.0,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
51,,,,,,,,,0.8733,1.171239,0.844965,0.326273,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,50,1024,1024000,1.0,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
52,,,,,,,,,0.8744,1.167621,0.843431,0.324191,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,50,1024,1024000,1.0,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
53,,,,,,,,,0.8744,1.165921,0.842150,0.323771,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,50,1024,1024000,1.0,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
54,,,,,,,,,0.8745,1.162817,0.839103,0.323714,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,50,1024,1024000,1.0,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
55,,,,,,,,,0.8757,1.138144,0.816015,0.322128,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
56,,,,,,,,,0.8786,1.122908,0.808833,0.314075,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
57,,,,,,,,,0.8772,1.141654,0.822322,0.319331,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
58,,,,,,,,,0.8811,1.134813,0.821351,0.313461,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
59,,,,,,,,,0.8753,1.148276,0.823011,0.325265,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
60,,,,,,,,,0.8737,1.153162,0.826539,0.326623,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
61,,,,,,,,,0.8778,1.135764,0.815954,0.319810,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
62,,,,,,,,,0.8791,1.140582,0.820057,0.320525,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
63,,,,,,,,,0.8735,1.159914,0.829348,0.330566,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
64,,,,,,,,,0.8700,1.154855,0.819580,0.335275,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
65,,,,,,,,,0.8652,1.166293,0.824434,0.341859,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
66,,,,,,,,,0.8635,1.165875,0.819777,0.346098,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
67,,,,,,,,,0.8629,1.147047,0.802432,0.344615,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
68,,,,,,,,,0.8688,1.134146,0.796957,0.337189,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
69,,,,,,,,,0.8717,1.130174,0.795881,0.334293,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
