cycle,cycle_time_s,selfplay_time_s,train_time_s,cumulative_time_s,p1_wins,p2_wins,draws,mean_game_length,min_game_length,max_game_length,mean_walls_placed,mean_policy_entropy,value_accuracy,loss_total,loss_policy,loss_value,holdout_loss_total,holdout_loss_policy,holdout_loss_value,train_steps,cumulative_train_steps,lr,boardsize,walls_per_player,games_per_cycle,mcts_sims,mcts_sims_fast,fast_play_prob,fast_kl_threshold,temp_threshold,c_puct,dirichlet_alpha,dirichlet_epsilon,dist_bonus_weight_max,fpu_reduction,random_wall_plies,random_wall_fraction,buffer_cycles,batch_size,train_positions_per_cycle,buffer_recency_decay,learning_rate,weight_decay,value_loss_weight,lr_milestones,lr_decay,filters,num_residual,gpool_every,num_workers,value_head,pawn_head
161,206.2,111.5,94.7,206.2,,,,,,,,,0.8575,1.198638,0.837918,0.360720,,,,1000,1000,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(1.0->0.2,hl=10.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.99,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
162,205.8,111.9,93.9,412.0,,,,,,,,,0.8586,1.188244,0.830418,0.357825,,,,1000,2000,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(1.0->0.2,hl=10.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.99,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
163,217.4,124.9,92.5,629.4,,,,,,,,,0.8576,1.188301,0.829559,0.358743,,,,1000,3000,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(1.0->0.2,hl=10.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.99,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
164,204.0,113.0,91.0,833.4,,,,,,,,,0.8535,1.201642,0.836481,0.365160,,,,1000,4000,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(1.0->0.2,hl=10.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.99,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
165,214.3,124.7,89.6,1047.7,,,,,,,,,0.8530,1.201962,0.835859,0.366103,,,,1000,5000,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(1.0->0.2,hl=10.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.99,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
166,208.2,119.8,88.4,1255.9,,,,,,,,,0.8520,1.201577,0.834730,0.366847,,,,1000,6000,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(1.0->0.2,hl=10.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.99,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
167,201.1,114.1,87.0,1457.0,,,,,,,,,0.8508,1.211939,0.842592,0.369347,,,,1000,7000,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(1.0->0.2,hl=10.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.99,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
168,206.9,121.3,85.6,1663.9,,,,,,,,,0.8514,1.212087,0.843691,0.368396,,,,1000,8000,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(1.0->0.2,hl=10.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.99,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
169,203.1,119.0,84.1,1867.0,,,,,,,,,0.8514,1.213162,0.844190,0.368972,,,,1000,9000,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(1.0->0.2,hl=10.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.99,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
170,203.9,120.7,83.2,2070.9,,,,,,,,,0.8509,1.213019,0.843565,0.369455,,,,1000,10000,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(1.0->0.2,hl=10.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.99,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
