cycle,cycle_time_s,selfplay_time_s,train_time_s,cumulative_time_s,p1_wins,p2_wins,draws,mean_game_length,min_game_length,max_game_length,mean_walls_placed,mean_policy_entropy,value_accuracy,loss_total,loss_policy,loss_value,holdout_loss_total,holdout_loss_policy,holdout_loss_value,train_steps,cumulative_train_steps,lr,boardsize,walls_per_player,games_per_cycle,mcts_sims,mcts_sims_fast,fast_play_prob,fast_kl_threshold,temp_threshold,c_puct,dirichlet_alpha,dirichlet_epsilon,dist_bonus_weight_max,fpu_reduction,random_wall_plies,random_wall_fraction,buffer_cycles,batch_size,train_positions_per_cycle,buffer_recency_decay,learning_rate,weight_decay,value_loss_weight,lr_milestones,lr_decay,filters,num_residual,gpool_every,num_workers,value_head,pawn_head
2,2314.2,2234.2,80.0,2314.2,,,,,,,,,0.8618,1.223382,0.939716,0.283665,,,,1000,1000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
3,430.7,350.7,80.0,2744.9,,,,,,,,,0.8729,2.185558,1.876295,0.309262,,,,1000,2000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
4,316.8,268.6,48.2,3061.7,,,,,,,,,0.8904,2.167569,1.895173,0.272396,,,,1000,3000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
5,388.8,339.5,49.3,3450.5,,,,,,,,,0.8826,2.235539,1.944817,0.290721,,,,1000,4000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
6,545.1,494.7,50.4,3995.6,,,,,,,,,0.8726,2.252350,1.935445,0.316905,,,,1000,5000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
7,510.9,453.9,57.0,4506.5,,,,,,,,,0.8642,2.217789,1.877288,0.340501,,,,1000,6000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
8,428.5,367.6,60.9,4935.0,,,,,,,,,0.8578,2.186795,1.829850,0.356945,,,,1000,7000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
9,363.2,300.7,62.5,5298.2,,,,,,,,,0.8469,2.136468,1.759712,0.376756,,,,1000,8000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
10,416.8,360.4,56.4,5715.0,,,,,,,,,0.8379,2.098980,1.704495,0.394485,,,,1000,9000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
11,313.7,255.6,58.1,6028.7,,,,,,,,,0.8273,2.076800,1.659127,0.417672,,,,1000,10000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
12,330.9,271.6,59.3,6359.6,,,,,,,,,0.8218,2.046989,1.618832,0.428158,,,,1000,11000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
13,353.5,292.3,61.2,6713.1,,,,,,,,,0.8160,2.039846,1.597746,0.442100,,,,1000,12000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
14,321.0,258.4,62.6,7034.1,,,,,,,,,0.8125,2.029145,1.578521,0.450624,,,,1000,13000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
15,346.1,282.0,64.1,7380.2,,,,,,,,,0.8083,2.021668,1.562870,0.458798,,,,1000,14000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
16,338.3,272.7,65.6,7718.5,,,,,,,,,0.8067,2.016033,1.550486,0.465547,,,,1000,15000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
17,341.7,275.0,66.7,8060.2,,,,,,,,,0.8026,2.016842,1.544771,0.472071,,,,1000,16000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
18,345.8,277.6,68.2,8406.0,,,,,,,,,0.8016,2.004645,1.529110,0.475535,,,,1000,17000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
19,320.9,251.3,69.6,8726.9,,,,,,,,,0.7989,2.003089,1.520140,0.482950,,,,1000,18000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
20,337.7,265.8,71.9,9064.6,,,,,,,,,0.7959,2.003643,1.515737,0.487906,,,,1000,19000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
21,338.4,265.7,72.7,9403.0,,,,,,,,,0.7949,1.998464,1.506580,0.491885,,,,1000,20000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
22,310.9,236.0,74.9,9713.9,,,,,,,,,0.7927,1.996916,1.499891,0.497025,,,,1000,21000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
23,334.1,258.2,75.9,10048.0,,,,,,,,,0.7908,1.987567,1.486897,0.500670,,,,1000,22000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
24,338.2,260.8,77.4,10386.2,,,,,,,,,0.7898,1.987746,1.483988,0.503758,,,,1000,23000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
25,363.3,284.3,79.0,10749.5,,,,,,,,,0.7879,1.989261,1.480760,0.508501,,,,1000,24000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
26,360.5,280.2,80.3,11110.0,,,,,,,,,0.7869,1.982933,1.471987,0.510946,,,,1000,25000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
27,355.1,273.2,81.9,11465.1,,,,,,,,,0.7852,1.978324,1.463276,0.515048,,,,1000,26000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
28,353.8,269.5,84.3,11818.9,,,,,,,,,0.7833,1.978461,1.459710,0.518751,,,,1000,27000,2.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.9->0.15,hl=7.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.98,0.0002,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
