game,agent_a,agent_b,player1,player2,result,score_for_a,plies
1,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,p2_win,0.0,16
2,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,p2_win,1.0,46
3,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,p1_win,0.0,35
4,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,p1_win,1.0,33
5,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,p1_win,0.0,43
6,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,p1_win,1.0,35
7,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,p2_win,0.0,38
8,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,p1_win,1.0,35
9,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,p1_win,0.0,43
10,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,p2_win,0.0,42
11,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,p1_win,0.0,49
12,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,p1_win,1.0,37
13,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,p1_win,0.0,37
14,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,p1_win,1.0,39
15,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,p2_win,1.0,56
16,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,p1_win,0.0,39
17,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,p2_win,1.0,36
18,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,p1_win,1.0,37
