game,agent_a,agent_b,player1,player2,result,score_for_a,plies
1,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,49
2,best_sim1,best_sim10,best_sim1,best_sim10,p1_win,1.0,51
3,best_sim1,best_sim10,best_sim1,best_sim10,p1_win,1.0,53
4,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,55
5,best_sim1,best_sim10,best_sim1,best_sim10,p1_win,1.0,57
6,best_sim1,best_sim10,best_sim1,best_sim10,p1_win,1.0,59
7,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,59
8,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,59
9,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,59
10,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,59
11,best_sim1,best_sim10,best_sim1,best_sim10,p1_win,1.0,61
12,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,61
13,best_sim1,best_sim10,best_sim1,best_sim10,p1_win,1.0,61
14,best_sim1,best_sim10,best_sim10,best_sim1,p2_win,1.0,62
15,best_sim1,best_sim10,best_sim10,best_sim1,p2_win,1.0,62
16,best_sim1,best_sim10,best_sim10,best_sim1,p2_win,1.0,62
17,best_sim1,best_sim10,best_sim10,best_sim1,p2_win,1.0,62
18,best_sim1,best_sim10,best_sim10,best_sim1,p2_win,1.0,62
19,best_sim1,best_sim10,best_sim10,best_sim1,p2_win,1.0,62
20,best_sim1,best_sim10,best_sim10,best_sim1,p2_win,1.0,62
21,best_sim1,best_sim10,best_sim10,best_sim1,p2_win,1.0,62
22,best_sim1,best_sim10,best_sim10,best_sim1,p2_win,1.0,62
23,best_sim1,best_sim10,best_sim10,best_sim1,p2_win,1.0,62
24,best_sim1,best_sim10,best_sim10,best_sim1,p2_win,1.0,62
25,best_sim1,best_sim10,best_sim1,best_sim10,p1_win,1.0,63
26,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,63
27,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,63
28,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,63
29,best_sim1,best_sim10,best_sim1,best_sim10,p1_win,1.0,65
30,best_sim1,best_sim10,best_sim10,best_sim1,p2_win,1.0,66
31,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,65
32,best_sim1,best_sim10,best_sim1,best_sim10,p1_win,1.0,65
33,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,65
34,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,65
35,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,65
36,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,65
37,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,65
38,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,65
39,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,65
40,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,65
41,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,65
42,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,65
43,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,67
44,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,65
45,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,65
46,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,65
47,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,67
48,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,67
49,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,67
50,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,67
51,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,67
52,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,67
53,best_sim1,best_sim10,best_sim1,best_sim10,p1_win,1.0,67
54,best_sim1,best_sim10,best_sim10,best_sim1,p2_win,1.0,66
55,best_sim1,best_sim10,best_sim10,best_sim1,p1_win,0.0,67
