game,agent_a,agent_b,player1,player2,result,score_for_a,plies
1,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,p2_win,1.0,20
2,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,p1_win,1.0,19
3,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,p2_win,1.0,22
4,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,p2_win,1.0,24
5,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,p2_win,1.0,28
6,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,p2_win,0.0,24
7,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,p2_win,1.0,22
8,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,p2_win,0.0,24
9,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,p1_win,0.0,25
10,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,p2_win,0.0,26
11,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,p1_win,0.0,27
12,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,p1_win,0.0,27
13,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,p2_win,0.0,26
14,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,p2_win,0.0,26
15,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,p1_win,0.0,27
16,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,p1_win,1.0,23
17,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,p2_win,1.0,22
18,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,p2_win,1.0,28
19,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,p2_win,0.0,24
20,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,p2_win,0.0,28
21,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,p1_win,0.0,27
22,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,p1_win,0.0,27
23,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,p1_win,1.0,27
24,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,p1_win,0.0,33
25,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,p2_win,0.0,26
26,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,p1_win,0.0,29
27,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,p2_win,0.0,26
28,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,p2_win,0.0,24
29,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,p2_win,0.0,24
30,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,p2_win,1.0,28
31,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,p1_win,0.0,35
32,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,p2_win,1.0,28
33,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,p2_win,1.0,26
34,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,p1_win,1.0,29
35,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,p2_win,0.0,26
