game,agent_a,agent_b,player1,player2,result,score_for_a,plies
1,runs\models_7x7\sweep\sup_64x6.pt,runs\models_7x7\sweep\sup_64x6_gp3.pt,runs\models_7x7\sweep\sup_64x6.pt,runs\models_7x7\sweep\sup_64x6_gp3.pt,p1_win,1.0,23
2,runs\models_7x7\sweep\sup_64x6.pt,runs\models_7x7\sweep\sup_64x6_gp3.pt,runs\models_7x7\sweep\sup_64x6_gp3.pt,runs\models_7x7\sweep\sup_64x6.pt,p2_win,1.0,22
3,runs\models_7x7\sweep\sup_64x6.pt,runs\models_7x7\sweep\sup_64x6_gp3.pt,runs\models_7x7\sweep\sup_64x6_gp3.pt,runs\models_7x7\sweep\sup_64x6.pt,p2_win,1.0,24
4,runs\models_7x7\sweep\sup_64x6.pt,runs\models_7x7\sweep\sup_64x6_gp3.pt,runs\models_7x7\sweep\sup_64x6_gp3.pt,runs\models_7x7\sweep\sup_64x6.pt,p2_win,1.0,28
5,runs\models_7x7\sweep\sup_64x6.pt,runs\models_7x7\sweep\sup_64x6_gp3.pt,runs\models_7x7\sweep\sup_64x6.pt,runs\models_7x7\sweep\sup_64x6_gp3.pt,p1_win,1.0,33
6,runs\models_7x7\sweep\sup_64x6.pt,runs\models_7x7\sweep\sup_64x6_gp3.pt,runs\models_7x7\sweep\sup_64x6_gp3.pt,runs\models_7x7\sweep\sup_64x6.pt,p1_win,0.0,29
7,runs\models_7x7\sweep\sup_64x6.pt,runs\models_7x7\sweep\sup_64x6_gp3.pt,runs\models_7x7\sweep\sup_64x6_gp3.pt,runs\models_7x7\sweep\sup_64x6.pt,p2_win,1.0,28
8,runs\models_7x7\sweep\sup_64x6.pt,runs\models_7x7\sweep\sup_64x6_gp3.pt,runs\models_7x7\sweep\sup_64x6_gp3.pt,runs\models_7x7\sweep\sup_64x6.pt,p1_win,0.0,29
9,runs\models_7x7\sweep\sup_64x6.pt,runs\models_7x7\sweep\sup_64x6_gp3.pt,runs\models_7x7\sweep\sup_64x6_gp3.pt,runs\models_7x7\sweep\sup_64x6.pt,p1_win,0.0,29
10,runs\models_7x7\sweep\sup_64x6.pt,runs\models_7x7\sweep\sup_64x6_gp3.pt,runs\models_7x7\sweep\sup_64x6_gp3.pt,runs\models_7x7\sweep\sup_64x6.pt,p1_win,0.0,29
