game,agent_a,agent_b,player1,player2,result,score_for_a,plies
1,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,p1_win,0.0,29
2,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,p1_win,0.0,33
3,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,p1_win,0.0,35
4,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,p1_win,0.0,35
5,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,p1_win,0.0,35
6,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,p2_win,1.0,38
7,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,p1_win,0.0,37
8,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,p1_win,0.0,37
9,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,p2_win,1.0,38
10,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,p1_win,0.0,37
11,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,p1_win,0.0,37
12,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,p1_win,0.0,37
13,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,p1_win,0.0,37
14,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,p1_win,0.0,41
15,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,p1_win,0.0,39
16,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,p2_win,1.0,40
17,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,p1_win,0.0,39
