game,agent_a,agent_b,player1,player2,result,score_for_a
1,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,p2_win,0.0
2,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0071.pt,p2_win,1.0
3,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0141.pt,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0141.pt,p1_win,1.0
4,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0141.pt,runs\models_7x7\checkpoints\cycle_0141.pt,runs\models_7x7\checkpoints\cycle_0071.pt,p2_win,1.0
5,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0152.pt,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0152.pt,p1_win,1.0
6,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0152.pt,runs\models_7x7\checkpoints\cycle_0152.pt,runs\models_7x7\checkpoints\cycle_0071.pt,p1_win,0.0
7,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0162.pt,p2_win,0.0
8,runs\models_7x7\checkpoints\cycle_0071.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\checkpoints\cycle_0071.pt,p1_win,0.0
9,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0141.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0141.pt,p1_win,1.0
10,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0141.pt,runs\models_7x7\checkpoints\cycle_0141.pt,runs\models_7x7\checkpoints\cycle_0121.pt,p1_win,0.0
11,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0152.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0152.pt,p2_win,0.0
12,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0152.pt,runs\models_7x7\checkpoints\cycle_0152.pt,runs\models_7x7\checkpoints\cycle_0121.pt,p1_win,0.0
13,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0162.pt,p2_win,0.0
14,runs\models_7x7\checkpoints\cycle_0121.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\checkpoints\cycle_0121.pt,p1_win,0.0
15,runs\models_7x7\checkpoints\cycle_0141.pt,runs\models_7x7\checkpoints\cycle_0152.pt,runs\models_7x7\checkpoints\cycle_0141.pt,runs\models_7x7\checkpoints\cycle_0152.pt,p2_win,0.0
16,runs\models_7x7\checkpoints\cycle_0141.pt,runs\models_7x7\checkpoints\cycle_0152.pt,runs\models_7x7\checkpoints\cycle_0152.pt,runs\models_7x7\checkpoints\cycle_0141.pt,p2_win,1.0
17,runs\models_7x7\checkpoints\cycle_0141.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\checkpoints\cycle_0141.pt,runs\models_7x7\checkpoints\cycle_0162.pt,p2_win,0.0
18,runs\models_7x7\checkpoints\cycle_0141.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\checkpoints\cycle_0141.pt,p1_win,0.0
19,runs\models_7x7\checkpoints\cycle_0152.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\checkpoints\cycle_0152.pt,runs\models_7x7\checkpoints\cycle_0162.pt,p2_win,0.0
20,runs\models_7x7\checkpoints\cycle_0152.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\checkpoints\cycle_0152.pt,p1_win,0.0
